eyeBlinkLeft,eyeBlinkRight,eyeSquintLeft,eyeSquintRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeWideLeft,eyeWideRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,jawForward,jawLeft,jawOpen,jawRight,mouthLeft,mouthRight,mouthFrownLeft,mouthFrownRight,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthDimpleLeft,mouthDimpleRight,mouthRollUpper,mouthRollLower,mouthShrugUpper,mouthLowerDown,mouthShrugLower,mouthFunnel,mouthPucker,mouthCompress,mouthUpperOut,FaceSneer,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,mouthUpperUpRight,mouthUpperUpLeft,mouthLowerDownRight,mouthLowerDownLeft,mouthPressLeft,mouthPressRight,mouthClose,tongueOut
0.088847,0.08909,-0,-0,0.05143,0.05143,0,0.151118,0,0,0.151173,0,0,0,0.083322,0.083322,0.040858,0.060779,0.060779,0.0028717779,-0.0005989857,-0.0052644834,-0.0000043038335,0.00029789764,0.0009171595,0.0054064034,0.0017469887,0.23827925,0.2383328,0.00027999934,0.00077897403,0.010148393,0.010523247,0.00004367577,0.000027595088,0.0006111339,0.021217857,-0.002825569,-0.023151662,0.00044316798,-0.00000001203643,0.0004889297,0.0000000010497646,0.00056393,0.0533353,0.052248444,-0.00015621446,-0.00074532535,-0.00026869253,-0.00026869256,0.00093770586,0.00022738613,0.00019969232,-0.00020314194,-0.0023750588,-0.00000027038186
0.326596,0.327078,-0,-0,0.101325,0.101325,0,0.147417,0,0,0.147426,0,0,0,0.082452,0.082452,0.046451,0.062165,0.062165,0.0028281547,-0.00058887247,-0.005675882,-0.0000047169224,0.00030175736,0.0009918571,0.0027159033,0.0013962602,0.23304324,0.23329157,0.0002299184,0.00072524603,0.011503821,0.012492384,-0.000045690686,-0.00007622223,0.0006577186,0.018387852,-0.0029503624,-0.028133642,0.0027822144,-0.000000012264392,0.00066856435,0.0000000010935514,0.0004859264,0.04296984,0.041932996,-0.000067779794,-0.0006489558,-0.00024967076,-0.00024967105,0.0009134803,0.00023093075,0.00030162,-0.0001255814,-0.0019063912,-0.00000082583574
0.72124,0.721469,-0,-0,0.14431,0.14431,0,0.136959,0,0,0.136909,0,0,0,0.082524,0.082524,0.050096,0.060923,0.060923,0.0026631057,-0.0005531786,-0.0056914464,-0.0000044602766,0.00030509813,0.0009829295,0.0013721024,0.0014920882,0.23263004,0.2330406,0.00013362523,0.0006009927,0.011880778,0.014555126,-0.000030103605,-0.00007501617,0.0006512236,0.017451974,-0.0029936177,-0.03358901,0.005638011,-0.000000012576562,0.0007670622,0.0000000011361123,0.0004787005,0.05487206,0.053926505,0.000016831793,-0.0005634101,-0.00024078983,-0.00024078997,0.0007415842,0.00012882799,0.00048444234,0.000025295652,-0.0011787489,-0.000001396289
0.999997,0.999997,-0,-0,0.163073,0.163072,0,0.130808,0,0,0.130714,0,0,0,0.08206,0.082061,0.056727,0.058285,0.058285,0.0024722256,-0.00052018,-0.0054355487,-0.0000039732786,0.0003101431,0.00093957083,0.0011356865,0.0015215874,0.23032409,0.23085137,0.00006620772,0.000503608,0.0103502525,0.013900405,0.00019016629,0.000024995767,0.00061757397,0.018822797,-0.0028738058,-0.039047625,0.0075480007,-0.00000001279869,0.00077447435,0.0000000011694041,0.0004303574,0.06451155,0.063693866,0.0001101736,-0.0004441943,-0.00025393802,-0.0002539382,0.0005023014,-0.00005231425,0.0007479545,0.00027659815,-0.00048575178,-0.0000014372054
0.968701,0.96871,-0,-0,0.150748,0.150748,0,0.135517,0,0,0.135433,0,0,0,0.081733,0.081734,0.064484,0.055168,0.055168,0.0023171352,-0.00053368136,-0.0052455887,-0.0000034711684,0.0003058742,0.0008604578,0.0017003996,0.0014964095,0.23047103,0.23104571,0.00003382098,0.00044670794,0.008057122,0.0116181085,0.0005109161,0.000177579,0.00055804476,0.02098385,-0.0027259928,-0.044442642,0.008936062,-0.000000012979177,0.00075878133,0.0000000011993118,0.00036688684,0.06743443,0.066648595,0.00009331759,-0.00044910144,-0.0002635988,-0.0002635988,0.00034149177,-0.00017998926,0.00095663965,0.0004920503,0.000025648624,-0.000001181339
0.693833,0.694021,-0,-0,0.120181,0.120181,0,0.135684,0,0,0.135655,0,0,0,0.081302,0.081302,0.070981,0.054006,0.054006,0.0017201807,-0.00053231325,-0.005138099,-0.0000029149905,0.0003018312,0.0006232485,0.003060673,0.0014600419,0.2305649,0.23127946,-0.00014803745,0.00018594973,0.006718423,0.009824262,0.0008610063,0.00036011543,0.00034601334,0.025909785,-0.0026645823,-0.05091585,0.013060972,-0.000000013167654,0.00054237363,0.0000000011621996,0.00028908788,0.06810473,0.067448065,0.00013743062,-0.00041508954,-0.00030167575,-0.00030167575,-0.0003243666,-0.0006892141,0.0014498169,0.0009941915,0.0003621392,-0.00000091396214
0.369841,0.370202,-0,-0,0.080774,0.080774,0,0.129692,0,0,0.129722,0,0,0,0.081432,0.081432,0.067734,0.056276,0.056276,0.0010612179,-0.0004461389,-0.0044764727,-0.000003316828,0.00030330988,0.00039504282,0.0042999373,0.0020891787,0.23228486,0.23320808,-0.00040160678,-0.00016641617,0.012987664,0.016426861,0.0001871842,0.00016905926,0.00011340622,0.026284963,-0.0034815553,-0.052442078,0.018812941,-0.000000013311956,0.00040532695,0.0000000010423391,0.00027988548,0.06544587,0.064932436,0.00033274293,-0.00027339347,-0.0003353552,-0.00033535535,-0.0008717682,-0.00091042183,0.004003008,0.0035098935,0.0007055141,-0.00000056813224
0.190736,0.190963,-0,-0,0.041626,0.041626,0,0.117231,0,0,0.117319,0,0,0,0.081241,0.081241,0.05928,0.061676,0.061676,0.000818708,-0.0002638921,-0.001975745,-0.0000033624483,0.00027017976,0.000071442686,0.005747634,0.003335427,0.24059908,0.24169083,-0.00038506743,-0.00021726545,0.016350592,0.020518918,-0.0002480112,-0.00029753428,0.0001254715,0.029539462,-0.0041982033,-0.051468458,0.021223944,-0.000000013304753,0.0001526596,0.0000000009540857,0.00040712953,0.067591436,0.06699152,0.00029730238,-0.00039166398,-0.00030720374,-0.00030720377,-0.0007123221,-0.0005680248,0.008628709,0.008115328,0.001950711,-0.0000005378206
0.07174,0.071841,-0,-0,0.011548,0.011548,0,0.109306,0,0,0.109426,0,0,0,0.081101,0.081101,0.049072,0.067199,0.067199,0.00053163245,-0.00020684022,0.0006222464,-0.000004007322,0.00028042987,-0.00007715868,0.0070505026,0.0038742681,0.2626354,0.2636098,-0.00030599907,-0.00016969349,0.0278829,0.0342782,-0.00056902925,-0.00062461104,0.000106158666,0.038117014,-0.004187522,-0.041709993,0.021131767,-0.00000001327634,-0.00005262904,0.00000000077455026,0.00029505976,0.08080627,0.08056325,0.00062572584,0.00001993496,-0.00029454444,-0.0002945445,-0.000043984503,0.00015663914,0.009616361,0.009088734,0.0023898855,-0.0000023779394
0.013141,0.013182,-0,-0,0,0,0,0.102975,0,0,0.103095,0,0.000521,0.000521,0.08106,0.08106,0.042844,0.069986,0.069986,0.0008182479,-0.0003171414,0.00023578852,-0.000003162968,0.00022126967,-0.00012328522,0.008339794,0.004373941,0.303022,0.30364218,-0.000188292,0.000010961667,0.027418774,0.033406235,-0.00032978132,-0.0002792608,0.00009481609,0.04663229,-0.00286602,-0.032249,0.014764402,-0.0000000135660105,-0.00018441537,0.0000000007534542,0.00045118667,0.090848446,0.09062889,0.00062892865,0.000061020255,-0.00009301954,-0.00009301977,0.0011545718,0.0012426041,0.0042125825,0.0037869415,0.0015379526,-0.0000033277538
